City,Yellow,,Orange,,Red,
,Start_Time,End_Time,Start_Time,End_Time,Start_Time,End_Time
,,,11/02/2019,22/03/2019,,
,,,01/10/2019,03/10/2019,,
,,,31/10/2019,10/11/2019,,
,,,08/12/2019,15/12/2019,,
,,,20/12/2019,31/12/2019,,
,,,05/01/2020,14/02/2020,,
,,,14/11/2020,18/11/2020,,
,,,28/11/2020,30/12/2020,,
,,,20/01/2021,01/02/2021,,
,,,02/11/2021,06/11/2021,,
,,,16/11/2021,22/11/2021,,
,,,20/01/2022,10/02/2022,,
Jincheng,13/11/2018,16/11/2018,30/11/2018,04/12/2018,,
,23/11/2018,29/11/2018,08/12/2018,28/12/2018,,
,05/12/2018,05/12/2018,03/01/2019,09/01/2019,,
,10/01/2019,14/01/2019,16/02/2019,02/03/2019,,
,20/01/2019,21/01/2019,07/03/2019,22/03/2019,,
,23/01/2019,31/01/2019,01/10/2019,03/10/2019,,
,11/02/2019,15/02/2019,20/10/2019,23/10/2019,,
,03/03/2019,06/03/2019,30/10/2019,10/11/2019,,
,11/10/2019,13/10/2019,14/11/2019,16/11/2019,,
,17/10/2019,19/10/2019,22/11/2019,24/11/2019,,
,19/11/2019,21/11/2019,05/12/2019,09/12/2019,,
,28/11/2019,29/11/2019,12/12/2019,15/12/2019,,
,,,19/12/2019,10/02/2020,,
,,,24/11/2020,31/12/2020,,
,,,18/01/2021,26/01/2021,,
,,,01/11/2021,06/11/2021,,
,,,14/11/2021,21/11/2021,,
,,,06/12/2021,11/12/2021,,
,,,19/01/2022,10/02/2022,,
Shuozhou,18/10/2019,23/10/2019,01/10/2019,02/10/2019,,
,01/11/2019,03/11/2019,04/11/2019,09/11/2019,,
,28/11/2019,30/11/2019,06/12/2019,09/12/2019,,
,,,12/12/2019,16/12/2019,,
,,,20/12/2019,31/12/2019,,
,,,10/01/2020,14/01/2020,,
,,,14/11/2020,18/11/2020,,
,,,28/11/2020,31/12/2020,,
,,,19/01/2021,31/01/2021,,
,,,19/01/2022,29/01/2022,,
Jinzhong,13/11/2018,16/11/2018,30/11/2018,03/12/2018,23/12/2019,24/12/2019
